method_name, 1, 2, 3, 4, 5, 6
FeNeC-Log, 84.04, 76.75, 72.78571428571429, 68.7625, 65.8111111111111, 63.99
FeNeC-Log, 84.34, 78.51666666666667, 73.6, 70.0125, 66.17777777777778, 63.77
FeNeC-Log, 81.62, 76.76666666666667, 71.54285714285714, 68.175, 65.27777777777779, 63.04

FeNeC, 84.0, 76.8, 72.88571428571429, 68.85, 65.60000000000001, 63.56
FeNeC, 84.3, 78.64999999999999, 73.77142857142857, 70.0375, 66.04444444444444, 63.49
FeNeC, 81.69999999999999, 76.98333333333333, 71.5, 68.0625, 65.14444444444445, 62.849999999999994

FeCAM, 83.56, 76.51666666666667, 72.12857142857143, 67.6625, 64.53333333333333, 62.28
FeCAM, 84.14, 77.98333333333333, 72.58571428571429, 68.525, 64.17777777777778, 61.83
FeCAM, 81.62, 76.81666666666666, 71.1, 67.3125, 64.54444444444445, 61.85
