method_name, 1, 2, 3, 4, 5, 6
FeLoC, 87.2, 83.2, 79.80000000000001, 77.35, 74.75555555555556, 72.66
FeLoC, 88.44, 83.73333333333333, 81.14285714285714, 77.55, 74.64444444444445, 71.82
FeLoC, 88.68, 85.1, 80.11428571428571, 77.64999999999999, 75.06666666666668, 73.11999999999999

FeNeC, 87.31999969482422, 83.56666564941406, 79.85713958740234, 77.30000305175781, 74.80000305175781, 72.55999755859375
FeNeC, 88.27999877929688, 83.53333282470703, 81.05714416503906, 77.4000015258789, 74.46666717529297, 71.55999755859375
FeNeC, 89.12000274658203, 85.36666870117188, 80.28571319580078, 77.72500610351562, 75.13333892822266, 73.33999633789062

FeCAM, 86.96, 82.23333333333333, 78.68571428571428, 76.075, 73.15555555555555, 70.8
FeCAM, 88.32, 82.76666666666667, 80.25714285714285, 76.3, 73.28888888888889, 70.28
FeCAM, 89.0, 83.86666666666666, 78.85714285714286, 76.3, 73.82222222222222, 71.84
