trial;last_task_accuracy;kmeans_k;knn_k;shrinkage_alpha_0;shrinkage_alpha_1
514;87,16999817;26;1;6,116585218;7,797607497
2919;87,16999817;26;1;6,152426403;8,053061234
3636;87,16999817;26;1;6,260022809;8,021406986
3661;87,16999817;26;1;6,286032944;8,01162276
3668;87,16999817;26;1;6,164130203;8,027211251
3669;87,16999817;26;1;6,168846101;8,027289079
3672;87,16999817;26;1;6,13183147;8,02257852
3674;87,16999817;26;1;6,136437692;8,023027252
3676;87,16999817;26;1;6,142272089;8,023481849
3677;87,16999817;26;1;6,162990675;8,026416439
3680;87,16999817;26;1;6,132050681;8,020525797
3684;87,16999817;26;1;6,113294101;8,015450709
4549;87,16999817;26;1;5,802545337;8,13446269
4598;87,16999817;26;1;6,143984441;8,140778324
4618;87,16999817;26;1;6,151763208;8,126765151
4619;87,16999817;26;1;6,151307932;8,124347798
4620;87,16999817;26;1;6,150661861;8,121801056
4621;87,16999817;26;1;6,144881977;8,11626598
4623;87,16999817;26;1;6,122437601;8,101230677
4772;87,16999817;26;1;6,122266749;8,102657373
4773;87,16999817;26;1;6,132141121;8,103256285
4774;87,16999817;26;1;6,139239008;8,104006292
4775;87,16999817;26;1;6,142421851;8,103874635
5530;87,16999817;26;1;6,164633263;8,044988148
5868;87,16999817;26;1;6,273903816;8,201406427
5906;87,16999817;26;1;6,271264026;8,199406882
8397;87,16999817;26;1;6,05563502;8,097492103
8406;87,16999817;26;1;6,059610699;8,098473232
204;87,15999603;26;1;6,127318245;10
401;87,15999603;26;1;4,958226162;0
413;87,15999603;26;1;4,921036528;2,65787704
529;87,15999603;26;1;6,360878582;8,090605674
1760;87,15999603;26;1;5,885816657;1,969984236
3019;87,15999603;26;1;6,125250637;9,72500145
3660;87,15999603;26;1;6,182164927;8,028902375
3663;87,15999603;26;1;6,186808571;8,028031091
3666;87,15999603;26;1;6,158336446;8,027323835
3667;87,15999603;26;1;6,160762457;8,02722003
3682;87,15999603;26;1;6,209793653;8,028081944
3683;87,15999603;26;1;6,202747029;8,027874775
3685;87,15999603;26;1;6,179351433;8,026285534
4234;87,15999603;26;1;6,10081104;8,816665491
4313;87,15999603;26;1;6,176167505;8,15277045
4325;87,15999603;26;1;6,175619825;8,146007614
4347;87,15999603;26;1;6,175013791;8,140013592
4546;87,15999603;26;1;6,191147132;8,127129135
4552;87,15999603;26;1;5,787401316;8,21190749
4553;87,15999603;26;1;5,786473697;8,189174838
