weight,tukey_lambda,shrinkage_alpha_0,shrinkage_alpha_1,knn_k,kmeans_k,last_task_accuracy
distance,0.6734364384976508,7.204541699573332,4.594016333019008,8,4,52.119998931884766
distance,0.9374959565840315,7.980229759404365,0.4621491126138466,2,19,54.179996490478516
uniform,0.5161570288777568,8.660532234529532,5.534678281548806,4,17,58.06999969482422
distance,0.29657406816735954,4.266990334389824,0.2728321581718607,7,20,55.519996643066406
distance,0.581099327073975,2.539226504492195,7.1560528829537775,14,11,58.46999740600586
distance,0.00263715321407877,8.166663630108864,5.057257998232957,3,16,21.739999771118164
distance,0.9626661745460764,6.873438212277623,6.913611606819733,17,1,54.47999954223633
distance,0.9311891242539465,4.832131834740155,7.560391421307044,3,9,55.88999938964844
uniform,0.0019813007121993443,2.708779435123282,6.568457223010583,16,9,30.420000076293945
distance,0.8271936642146253,0.9989913080330304,2.5299964309094083,10,18,58.18000030517578
distance,0.4922090599841157,0.0,0.0,12,20,0.4
distance,0.934778158863289,2.201432092508085,5.106769342350982,14,16,57.029998779296875
uniform,0.6745341633305021,5.014417760637246,6.463804662476815,6,20,57.93000030517578
distance,0.6861961185421865,3.028407965539593,10.0,3,16,56.349998474121094
uniform,0.48404687568142685,6.845825983223492,0.0,2,20,56.099998474121094
distance,0.6856172681525751,3.468668575034148,8.031516326048054,20,1,58.80999755859375
distance,0.9999999999999999,1.5916771234779556,0.0,1,4,53.09999465942383
distance,0.5071483063891882,5.036035966879435,6.754081980585624,20,20,55.339996337890625
uniform,0.8251234948968903,1.2772180518532257,6.638620789869318,1,1,52.38999557495117
distance,0.34050913615055817,7.120002813487076,0.0,1,20,56.04999542236328
uniform,0.7626122968314399,10.0,10.0,1,20,56.0
uniform,0.5429171625583686,3.612933157805711,9.999999999999998,20,1,59.5099983215332
uniform,0.5358818198352386,6.542986401593022,10.0,1,1,57.589996337890625
uniform,0.4784937871867277,10.0,0.0,20,1,50.94000244140625
uniform,1.0,10.0,10.0,1,20,54.310001373291016
uniform,0.8881038253267246,3.83330998694104,2.042115001304297,20,20,51.98999786376953
distance,0.5115902637978061,3.108246229177627,9.999999999999998,1,1,60.03000259399414
distance,0.5782240899378643,1.343235429877633,10.0,20,1,33.769996643066406
distance,0.5457222274206259,3.6715618631731872,0.0,6,4,51.709999084472656
distance,0.5466525337429204,3.3376404286854573,10.0,20,20,57.83000183105469
distance,1.0,0.3783916288466076,9.607116709357912,20,20,8.970000267028809
distance,0.8503785403794105,2.1905625848024797,3.630320846145441,1,7,56.13999938964844
distance,0.5804014918226432,4.280779470918665,9.273632589734358,1,13,58.23999786376953
uniform,0.8098179178690408,10.0,4.993667299080628,1,20,55.81999969482422
uniform,0.7674161701075687,6.967603641789461,10.0,20,20,52.28999710083008
uniform,0.6189923750393864,3.4086580948369165,7.837705851172982,1,1,59.249996185302734
uniform,1.0,0.9801943145832793,2.9287227704984256,9,20,54.060001373291016
distance,0.7288614749222208,3.4395728162509864,9.999999999999998,13,12,56.55999755859375
distance,0.8642912492639808,1.8792156625517589,1.3413578274244862,9,17,58.14999771118164
uniform,0.31555104128280337,4.200037554531099,10.0,1,20,59.96999740600586
uniform,1.0,10.0,9.999999999999998,16,20,50.11000061035156
distance,0.8668004728015372,1.5477401894988048,10.0,9,1,35.59000015258789
uniform,0.43099850572342707,4.071269107983014,9.999999999999998,1,1,59.679996490478516
uniform,0.6521017990557539,3.198068322892208,6.247234464602656,17,20,56.8699951171875
distance,0.4747757540391937,3.4581647068413712,7.383852065368614,1,20,60.04999923706055
uniform,1.0,6.260544534871579,10.0,1,1,54.91999816894531
distance,1.0,10.0,0.0,1,1,51.91999816894531
