weight,shrinkage_alpha_0,shrinkage_alpha_1,knn_k,kmeans_k,last_task_accuracy
distance,7.264998501053348,5.034726665377185,11,17,86.52999877929688
distance,7.59464043723713,3.134860748282464,5,5,86.49999237060547
distance,3.6772361272880527,8.409041084600556,13,18,86.50999450683594
uniform,9.832747319655018,4.816326820516478,19,10,84.70999908447266
distance,7.017639480126789,8.273476558735899,13,20,86.5199966430664
uniform,3.6437860632027084,5.21759844604973,14,9,86.35999298095703
uniform,7.919891923568136,9.7117588420428,6,1,86.75
distance,5.894103965448634,0.9972407238091208,11,20,86.58999633789062
distance,3.865004476419982,1.5905661986136843,17,8,85.65999603271484
uniform,4.942110510224431,0.9762832203957517,13,17,86.44999694824219
uniform,0.0,9.999999999999998,7,20,82.81999969482422
uniform,5.7309365995721,10.0,6,13,86.78999328613281
distance,5.552981292954627,10.0,10,6,86.43999481201172
uniform,7.710484129262322,10.0,1,20,86.39999389648438
uniform,4.457804902100108,10.0,1,20,86.5199966430664
uniform,4.674301653943207,10.0,20,20,86.40999603271484
uniform,6.7781168233862505,10.0,1,1,86.83999633789062
distance,5.879853713516642,10.0,1,20,86.48999786376953
uniform,6.568462976408773,0.0,1,1,86.82999420166016
uniform,6.850103197864374,6.457638766074143,7,1,86.83999633789062
uniform,6.314057469500719,0.0,3,20,86.5999984741211
uniform,7.642666843065595,0.0,1,1,86.7699966430664
uniform,4.510033477758221,10.0,10,20,86.62999725341797
uniform,4.928154201001674,9.999999999999998,4,1,86.75999450683594
uniform,7.227306405405062,5.932150449101069,1,1,86.77999877929688
uniform,6.1810653800385404,10.0,7,1,86.81999969482422
uniform,7.010910154858694,10.0,6,1,86.83999633789062
uniform,5.932048970312258,10.0,1,1,86.83999633789062
uniform,6.90110674729207,0.0,6,1,86.83999633789062
uniform,6.421816044484721,10.0,4,6,86.55999755859375
distance,8.096773425412346,10.0,20,1,86.75999450683594
distance,7.260725404989385,10.0,1,1,86.77999877929688
uniform,4.713821512337313,10.0,1,11,86.63999938964844
distance,10.0,9.999999999999998,1,1,86.68999481201172
distance,5.367166071670253,10.0,18,17,86.4699935913086
distance,10.0,0.0,1,20,86.23999786376953
uniform,5.776290867282494,10.0,5,20,86.7699966430664
distance,8.682420217826037,0.0,8,1,86.73999786376953
distance,7.9663518033027785,10.0,10,1,86.75999450683594
uniform,6.896855577412947,0.0,20,1,86.83999633789062
distance,7.030264404812358,0.0,20,1,86.82999420166016
distance,6.436282109563828,0.0,1,1,86.80999755859375
uniform,7.092339792250905,9.999999999999998,20,1,86.80999755859375
uniform,1.802018255597446,10.0,1,1,86.23999786376953
uniform,5.824434550961462,10.0,1,16,86.66999816894531
uniform,7.450976001510997,0.0,16,1,86.75999450683594
uniform,5.920103247342591,0.0,20,1,86.83999633789062
distance,6.688203807481626,10.0,20,1,86.85999298095703
distance,6.522369420087606,10.0,11,1,86.81999969482422
uniform,5.313701026804164,10.0,16,10,86.17999267578125
uniform,5.690968192631298,9.999999999999998,1,3,86.47999572753906
