weight,shrinkage_alpha_0,shrinkage_alpha_1,knn_k,kmeans_k,last_task_accuracy
uniform,0.793428612351258,1.636279946029836,3,14,85.5999984741211
uniform,0.0,0.0,1,1,76.94000244140625
uniform,5.0,5.0,11,11,86.42999267578125
distance,7.5,2.5,5,5,86.49999237060547
uniform,2.5,7.5,15,15,86.15999603271484
distance,3.75,3.75,13,18,86.48999786376953
uniform,8.75,8.75,3,8,86.56999969482422
distance,6.25,1.25,18,13,86.29999542236328
uniform,1.25,6.25,8,3,85.43999481201172
uniform,1.875,3.125,19,9,84.31999969482422
distance,6.875,8.125,9,19,86.58999633789062
uniform,9.375,0.625,14,4,86.4699935913086
uniform,4.375,5.625,4,14,86.64999389648438
uniform,3.125,1.875,7,12,86.40999603271484
distance,8.125,6.875,17,2,86.37999725341797
uniform,5.625,4.375,2,17,86.66999816894531
distance,0.625,9.375,12,7,84.37000274658203
uniform,0.9375,4.6875,10,14,85.6199951171875
distance,5.9375,9.6875,20,4,86.25999450683594
distance,8.4375,2.1875,5,19,86.55999755859375
distance,3.4375,7.1875,15,9,86.02999877929688
uniform,4.6875,0.9375,17,6,85.56999206542969
distance,9.6875,5.9375,7,16,86.50999450683594
distance,7.1875,3.4375,12,1,86.78999328613281
uniform,2.1875,8.4375,2,11,86.3499984741211
distance,1.5625,1.5625,11,17,86.00999450683594
distance,6.5625,6.5625,1,7,86.70999908447266
uniform,9.0625,4.0625,16,12,86.30999755859375
uniform,4.0625,9.0625,6,2,86.65999603271484
uniform,2.8125,2.8125,4,5,86.42999267578125
distance,7.8125,7.8125,14,15,86.38999938964844
uniform,5.3125,0.3125,9,10,86.49999237060547
uniform,0.3125,5.3125,19,20,84.02999877929688
distance,0.46875,2.65625,15,11,84.11000061035156
uniform,5.46875,7.65625,5,1,86.81999969482422
distance,7.96875,0.15625,20,16,86.35999298095703
uniform,2.96875,5.15625,10,6,86.35999298095703
distance,4.21875,1.40625,2,9,86.83999633789062
distance,9.21875,6.40625,12,19,86.56999969482422
distance,6.71875,3.90625,7,4,86.06999206542969
uniform,1.71875,8.90625,17,14,85.79999542236328
uniform,2.34375,0.78125,6,20,86.53999328613281
uniform,7.34375,5.78125,16,10,86.0999984741211
distance,9.84375,3.28125,1,15,86.4699935913086
distance,4.84375,8.28125,11,5,85.89999389648438
uniform,3.59375,4.53125,18,3,86.47999572753906
distance,8.59375,9.53125,8,13,86.47999572753906
distance,6.09375,2.03125,13,8,86.24999237060547
uniform,1.09375,7.03125,3,18,85.8499984741211
uniform,0.78125,2.34375,16,3,85.42999267578125
uniform,5.78125,7.34375,6,13,86.78999328613281
uniform,8.28125,4.84375,11,8,86.30999755859375
uniform,3.28125,9.84375,1,18,86.55999755859375
uniform,4.53125,3.59375,9,16,86.4699935913086
distance,9.53125,8.59375,19,6,85.3699951171875
uniform,7.03125,1.09375,4,11,86.77999877929688
uniform,2.03125,6.09375,14,1,86.37999725341797
distance,1.40625,4.21875,5,7,85.8699951171875
distance,6.40625,9.21875,15,17,86.44999694824219
distance,8.90625,1.71875,10,2,86.32999420166016
distance,3.90625,6.71875,20,12,86.10999298095703
distance,2.65625,0.46875,13,15,86.28999328613281
uniform,7.65625,5.46875,3,5,86.48999786376953
distance,5.15625,2.96875,18,20,86.33999633789062
distance,0.15625,7.96875,8,10,83.87000274658203
uniform,0.234375,3.984375,17,17,83.80999755859375
uniform,5.234375,8.984375,7,7,86.60999298095703
distance,7.734375,1.484375,12,12,86.43999481201172
uniform,2.734375,6.484375,2,2,86.57999420166016
distance,3.984375,0.234375,9,5,85.6199951171875
distance,8.984375,5.234375,19,15,86.18999481201172
distance,6.484375,2.734375,4,10,86.70999908447266
uniform,1.484375,7.734375,14,20,86.0199966430664
distance,2.109375,2.109375,3,13,86.39999389648438
distance,7.109375,7.109375,13,3,86.40999603271484
uniform,9.609375,4.609375,8,18,86.54999542236328
distance,4.609375,9.609375,18,8,85.74999237060547
distance,3.359375,3.359375,11,6,85.22999572753906
distance,8.359375,8.359375,1,16,86.56999969482422
distance,5.859375,0.859375,16,1,86.82999420166016
distance,0.859375,5.859375,6,11,85.54999542236328
uniform,1.171875,1.171875,14,10,85.23999786376953
uniform,6.171875,6.171875,4,20,86.63999938964844
distance,8.671875,3.671875,19,5,85.5999984741211
distance,3.671875,8.671875,9,15,86.58999633789062
distance,4.921875,4.921875,1,13,86.56999969482422
distance,9.921875,9.921875,11,3,86.18999481201172
distance,7.421875,2.421875,6,18,86.54999542236328
distance,2.421875,7.421875,16,8,85.42999267578125
uniform,1.796875,3.046875,8,2,86.07999420166016
distance,6.796875,8.046875,18,12,86.27999877929688
uniform,9.296875,0.546875,3,7,86.28999328613281
uniform,4.296875,5.546875,13,17,86.49999237060547
uniform,3.046875,1.796875,20,19,86.18999481201172
uniform,8.046875,6.796875,10,9,86.4699935913086
uniform,5.546875,4.296875,15,14,86.47999572753906
uniform,0.546875,9.296875,5,4,84.5999984741211
distance,0.390625,1.328125,8,8,84.6500015258789
uniform,5.390625,6.328125,18,18,86.50999450683594
distance,7.890625,3.828125,3,3,86.38999938964844
distance,2.890625,8.828125,13,13,86.14999389648438
uniform,4.140625,2.578125,16,15,86.4699935913086
distance,9.140625,7.578125,6,5,86.44999694824219
uniform,6.640625,0.078125,11,20,86.53999328613281
distance,1.640625,5.078125,1,10,86.41999816894531
uniform,2.265625,4.453125,12,4,86.1199951171875
uniform,7.265625,9.453125,2,14,86.5999984741211
distance,9.765625,1.953125,17,9,85.37999725341797
distance,4.765625,6.953125,7,19,86.66999816894531
uniform,3.515625,0.703125,5,16,86.65999603271484
distance,8.515625,5.703125,15,6,85.60999298095703
distance,6.015625,3.203125,10,11,86.55999755859375
distance,1.015625,8.203125,20,1,85.69999694824219
uniform,0.703125,3.515625,3,19,85.49999237060547
uniform,5.703125,8.515625,13,9,86.19999694824219
uniform,8.203125,1.015625,8,14,86.55999755859375
uniform,3.203125,6.015625,18,4,86.45999908447266
uniform,4.453125,2.265625,15,2,86.60999298095703
distance,9.453125,7.265625,5,12,86.35999298095703
uniform,6.953125,4.765625,20,7,84.69999694824219
distance,1.953125,9.765625,10,17,86.3499984741211
uniform,1.328125,0.390625,19,11,84.65999603271484
distance,6.328125,5.390625,9,1,86.80999755859375
distance,8.828125,2.890625,14,16,86.27999877929688
distance,3.828125,7.890625,4,6,86.60999298095703
distance,2.578125,4.140625,7,8,86.39999389648438
uniform,7.578125,9.140625,17,18,86.27999877929688
distance,5.078125,1.640625,2,3,86.48999786376953
uniform,0.078125,6.640625,12,13,83.12999725341797
uniform,0.1171875,3.3203125,6,4,82.94999694824219
uniform,5.1171875,8.3203125,16,14,86.56999969482422
uniform,7.6171875,0.8203125,1,9,86.83999633789062
uniform,2.6171875,5.8203125,11,19,86.44999694824219
distance,3.8671875,2.0703125,19,17,86.30999755859375
distance,8.8671875,7.0703125,9,7,86.56999969482422
distance,6.3671875,4.5703125,14,12,86.43999481201172
uniform,1.3671875,9.5703125,4,2,85.53999328613281
uniform,1.9921875,0.1953125,15,6,85.13999938964844
uniform,6.9921875,5.1953125,5,16,86.67999267578125
uniform,9.4921875,2.6953125,20,1,86.7199935913086
distance,4.4921875,7.6953125,10,11,86.52999877929688
distance,3.2421875,3.9453125,3,13,86.66999816894531
uniform,8.2421875,8.9453125,13,3,85.79999542236328
uniform,5.7421875,1.4453125,8,18,86.82999420166016
distance,0.7421875,6.4453125,18,8,83.93000030517578
uniform,1.0546875,1.7578125,4,12,85.8699951171875
uniform,6.0546875,6.7578125,14,2,86.50999450683594
uniform,8.5546875,4.2578125,9,17,86.57999420166016
distance,3.5546875,9.2578125,19,7,85.37999725341797
distance,4.8046875,3.0078125,12,10,86.52999877929688
uniform,9.8046875,8.0078125,2,20,86.24999237060547
distance,7.3046875,0.5078125,17,5,85.67999267578125
uniform,2.3046875,5.5078125,7,15,86.43999481201172
distance,1.6796875,4.8828125,16,19,86.07999420166016
uniform,6.6796875,9.8828125,6,9,86.69999694824219
distance,9.1796875,2.3828125,11,14,86.3699951171875
uniform,4.1796875,7.3828125,1,4,86.5999984741211
distance,2.9296875,1.1328125,8,1,86.68999481201172
distance,7.9296875,6.1328125,18,11,85.94999694824219
distance,5.4296875,3.6328125,3,6,86.49999237060547
distance,0.4296875,8.6328125,13,16,84.54000091552734
uniform,0.5859375,0.6640625,20,15,84.12000274658203
distance,5.5859375,5.6640625,10,5,85.72999572753906
uniform,8.0859375,3.1640625,15,20,86.2199935913086
uniform,3.0859375,8.1640625,5,10,86.49999237060547
distance,4.3359375,4.4140625,8,8,86.52999877929688
uniform,9.3359375,9.4140625,18,18,86.30999755859375
distance,6.8359375,1.9140625,3,3,86.41999816894531
uniform,1.8359375,6.9140625,13,13,85.89999389648438
distance,2.4609375,2.5390625,2,17,86.54999542236328
uniform,7.4609375,7.5390625,12,7,86.2199935913086
distance,9.9609375,0.0390625,7,12,86.2699966430664
uniform,4.9609375,5.0390625,17,2,86.57999420166016
