weight,tukey_lambda,shrinkage_alpha_0,shrinkage_alpha_1,knn_k,kmeans_k,last_task_accuracy
distance,0.797847610525453,8.965335892803004,0.3757363404326197,18,8,43.04999923706055
distance,0.001,0.0,0.0,1,1,1.6200000047683716
uniform,0.5005,5.0,5.0,11,11,48.279998779296875
uniform,0.75025,2.5,2.5,5,15,49.13999557495117
distance,0.25075,7.5,7.5,15,5,43.46999740600586
distance,0.375625,3.75,6.25,18,8,47.70000076293945
distance,0.875125,8.75,1.25,8,18,45.31999969482422
distance,0.625375,1.25,8.75,13,13,45.66999816894531
uniform,0.125875,6.25,3.75,3,3,41.220001220703125
uniform,0.1883125,3.125,9.375,9,12,44.279998779296875
uniform,0.6878125,8.125,4.375,19,2,46.90999984741211
distance,0.9375625,0.625,6.875,4,7,34.37999725341797
uniform,0.4380625,5.625,1.875,14,17,47.12999725341797
uniform,0.3131875,1.875,3.125,12,19,51.33000183105469
distance,0.8126875,6.875,8.125,2,9,46.44999694824219
uniform,0.5629375,4.375,0.625,17,4,46.21999740600586
distance,0.0634375,9.375,5.625,7,14,36.3599967956543
distance,0.09465625,4.6875,4.6875,14,6,40.93000030517578
uniform,0.59415625,9.6875,9.6875,4,16,48.599998474121094
distance,0.84390625,2.1875,2.1875,19,11,46.87999725341797
uniform,0.34440625,7.1875,7.1875,9,1,47.39999771118164
uniform,0.46928125,0.9375,8.4375,6,4,39.7599983215332
uniform,0.96878125,5.9375,3.4375,16,14,44.29999923706055
distance,0.71903125,3.4375,5.9375,1,19,48.529998779296875
uniform,0.21953125,8.4375,0.9375,11,9,43.0099983215332
distance,0.15709375,1.5625,5.3125,17,17,42.89999771118164
distance,0.65659375,6.5625,0.3125,7,7,46.03999710083008
distance,0.90634375,4.0625,7.8125,12,2,45.769996643066406
distance,0.40684375,9.0625,2.8125,2,12,48.040000915527344
distance,0.28196875,2.8125,1.5625,5,15,49.6099967956543
distance,0.78146875,7.8125,6.5625,15,5,44.82999801635742
uniform,0.53171875,0.3125,4.0625,10,10,37.53999710083008
uniform,0.03221875,5.3125,9.0625,20,20,31.46999740600586
distance,0.047828125,2.65625,7.03125,11,3,28.849998474121094
distance,0.547328125,7.65625,2.03125,1,13,48.29999923706055
uniform,0.797078125,0.15625,9.53125,16,18,1.6699999570846558
distance,0.297578125,5.15625,4.53125,6,8,48.13999938964844
distance,0.422453125,1.40625,0.78125,9,6,50.720001220703125
uniform,0.921953125,6.40625,5.78125,19,16,44.56999969482422
distance,0.672203125,3.90625,3.28125,4,11,49.349998474121094
uniform,0.172703125,8.90625,8.28125,14,1,42.689998626708984
uniform,0.235140625,0.78125,2.65625,20,15,47.05999755859375
uniform,0.734640625,5.78125,7.65625,10,5,46.689998626708984
distance,0.984390625,3.28125,0.15625,15,10,44.709999084472656
distance,0.484890625,8.28125,5.15625,5,20,48.7599983215332
distance,0.360015625,4.53125,8.90625,3,17,49.88999938964844
uniform,0.859515625,9.53125,3.90625,13,7,44.7599983215332
distance,0.609765625,2.03125,6.40625,8,2,49.89999771118164
uniform,0.110265625,7.03125,1.40625,18,12,39.41999816894531
uniform,0.079046875,2.34375,7.96875,3,9,31.439998626708984
distance,0.578546875,7.34375,2.96875,13,19,47.18000030517578
uniform,0.828296875,4.84375,5.46875,8,14,47.349998474121094
uniform,0.328796875,9.84375,0.46875,18,4,42.25
distance,0.453671875,3.59375,4.21875,16,1,50.69000244140625
uniform,0.953171875,8.59375,9.21875,6,11,45.470001220703125
uniform,0.703421875,1.09375,1.71875,11,16,49.69999694824219
distance,0.203921875,6.09375,6.71875,1,6,45.029998779296875
uniform,0.141484375,4.21875,2.34375,7,20,45.209999084472656
uniform,0.640984375,9.21875,7.34375,17,10,45.999996185302734
