trial;last_task_accuracy;kmeans_k;knn_k;shrinkage_alpha_0;shrinkage_alpha_1;tukey_lambda
3989;63,60;47;4;0,82;1,47;0,42
3727;63,59;47;4;0,85;1,51;0,43
3914;63,59;47;4;0,85;1,53;0,43
3915;63,59;47;4;0,85;1,53;0,43
2614;63,58;45;4;0,84;1,65;0,42
3722;63,58;47;4;0,85;1,51;0,43
3726;63,58;47;4;0,85;1,51;0,43
3892;63,58;47;4;0,85;1,53;0,43
3902;63,58;47;4;0,85;1,53;0,43
3908;63,58;47;4;0,85;1,53;0,44
3909;63,58;47;4;0,85;1,53;0,43
3910;63,58;47;4;0,85;1,53;0,43
3911;63,58;47;4;0,85;1,53;0,43
3912;63,58;47;4;0,85;1,53;0,43
3913;63,58;47;4;0,85;1,53;0,43
3916;63,58;47;4;0,85;1,53;0,43
3957;63,58;47;4;0,83;1,48;0,42
3967;63,58;47;4;0,83;1,48;0,42
3903;63,57;47;4;0,85;1,53;0,44
3905;63,57;47;4;0,85;1,53;0,44
3906;63,57;47;4;0,85;1,53;0,43
3917;63,57;47;4;0,85;1,52;0,43
3918;63,57;47;4;0,85;1,52;0,43
3921;63,57;47;4;0,85;1,53;0,44
3930;63,57;47;4;0,84;1,50;0,43
3966;63,57;47;4;0,83;1,48;0,42
3889;63,56;47;4;0,85;1,53;0,43
3896;63,56;47;4;0,86;1,52;0,43
3898;63,56;47;4;0,86;1,52;0,43
3899;63,56;47;4;0,86;1,52;0,43
3907;63,56;47;4;0,85;1,53;0,44
3919;63,56;47;4;0,86;1,52;0,43
3972;63,56;47;4;0,82;1,47;0,42
1626;63,55;47;4;0,87;1,65;0,43
2608;63,55;45;4;0,84;1,65;0,42
2609;63,55;45;4;0,84;1,65;0,42
2610;63,55;45;4;0,84;1,65;0,42
2611;63,55;45;4;0,84;1,65;0,42
2612;63,55;45;4;0,84;1,65;0,42
3900;63,55;47;4;0,86;1,52;0,43
3926;63,55;47;4;0,83;1,52;0,43
3977;63,55;47;4;0,83;1,47;0,42
2602;63,54;45;4;0,83;1,65;0,42
2603;63,54;45;4;0,83;1,65;0,42
2613;63,54;45;4;0,84;1,65;0,42
3539;63,54;47;4;0,86;1,52;0,42
3545;63,54;47;4;0,84;1,52;0,42
3546;63,54;47;4;0,85;1,52;0,42
3956;63,54;47;4;0,82;1,49;0,42
3964;63,54;47;4;0,82;1,49;0,42
3965;63,54;47;4;0,82;1,49;0,42
6691;63,54;45;4;0,91;1,63;0,41
1149;63,53;47;4;0,88;1,39;0,39
1625;63,53;47;4;0,87;1,65;0,43
2593;63,53;45;4;0,84;1,65;0,42
2594;63,53;45;4;0,84;1,65;0,42
2595;63,53;45;4;0,84;1,65;0,42
2596;63,53;45;4;0,84;1,65;0,42
2597;63,53;45;4;0,84;1,65;0,42
2598;63,53;45;4;0,84;1,65;0,42
2599;63,53;45;4;0,84;1,65;0,42
2600;63,53;45;4;0,84;1,65;0,42
2601;63,53;45;4;0,83;1,65;0,42
2604;63,53;45;4;0,83;1,65;0,42
2605;63,53;45;4;0,83;1,65;0,42
2606;63,53;45;4;0,83;1,65;0,42
3687;63,53;47;4;1,09;2,00;0,35
3717;63,53;47;4;1,09;2,00;0,35
3925;63,53;47;4;0,84;1,55;0,44
3953;63,53;47;4;0,82;1,49;0,42
3955;63,53;47;4;0,82;1,49;0,42
3958;63,53;47;4;0,82;1,49;0,42
3976;63,53;47;4;0,82;1,48;0,42
1338;63,52;47;4;1,04;2,00;0,35
1339;63,52;47;4;1,04;2,00;0,35
1340;63,52;47;4;1,04;2,00;0,35
1341;63,52;47;4;1,04;2,00;0,35
1453;63,52;47;4;0,95;1,41;0,35
2588;63,52;45;4;0,84;1,65;0,42
2589;63,52;45;4;0,84;1,65;0,42
2591;63,52;45;4;0,84;1,65;0,42
2592;63,52;45;4;0,84;1,65;0,42
3537;63,52;47;4;0,86;1,52;0,42
3662;63,52;47;4;0,86;1,51;0,42
3920;63,52;47;4;0,87;1,51;0,43
3929;63,52;47;4;0,84;1,57;0,44
3931;63,52;47;4;0,88;1,50;0,43
3969;63,52;47;4;0,82;1,49;0,42
3975;63,52;47;4;0,81;1,48;0,42
7702;63,52;46;4;0,83;1,41;0,43
1134;63,51;47;4;0,85;1,31;0,39
1221;63,51;47;4;0,83;1,56;0,40
1222;63,51;47;4;0,83;1,56;0,40
1223;63,51;47;4;0,83;1,57;0,40
1224;63,51;47;4;0,83;1,57;0,40
1227;63,51;47;4;0,80;1,54;0,39
1269;63,51;47;4;0,92;1,71;0,38
1270;63,51;47;4;0,92;1,71;0,38
1271;63,51;47;4;0,92;1,71;0,38
1272;63,51;47;4;0,92;1,71;0,38
1273;63,51;47;4;0,92;1,71;0,38
1274;63,51;47;4;0,92;1,71;0,38
1280;63,51;47;4;0,97;1,72;0,39
1342;63,51;47;4;1,05;2,00;0,34
1452;63,51;47;4;0,95;1,41;0,35
3191;63,51;47;4;0,87;1,54;0,40
3488;63,51;47;4;1,03;2,00;0,38
3540;63,51;47;4;0,86;1,52;0,42
3673;63,51;47;4;1,09;2,00;0,35
3922;63,51;47;4;0,87;1,51;0,43
3923;63,51;47;4;0,87;1,51;0,43
3924;63,51;47;4;0,84;1,55;0,44
3933;63,51;47;4;0,89;1,50;0,43
3934;63,51;47;4;0,89;1,50;0,43
3961;63,51;47;4;0,81;1,50;0,42
5345;63,51;47;4;0,82;1,33;0,36
5400;63,51;47;4;0,84;1,43;0,38
5401;63,51;47;4;0,84;1,43;0,38
7729;63,51;46;4;0,83;1,41;0,43
1114;63,50;47;4;0,84;1,29;0,40
1133;63,50;47;4;0,85;1,31;0,39
1225;63,50;47;4;0,83;1,58;0,40
1228;63,50;47;4;0,80;1,54;0,39
1275;63,50;47;4;0,92;1,71;0,38
1343;63,50;47;4;1,05;2,00;0,34
1345;63,50;47;4;1,05;2,00;0,34
3209;63,50;47;4;0,91;1,77;0,40
3211;63,50;47;4;0,91;1,77;0,40
3422;63,50;47;4;0,97;1,77;0,39
3423;63,50;47;4;0,97;1,77;0,39
3521;63,50;47;4;1,05;2,00;0,38
3601;63,50;46;4;0,93;1,53;0,40
3623;63,50;47;4;1,10;2,00;0,34
3659;63,50;47;4;1,10;2,00;0,34
3841;63,50;47;4;1,09;2,00;0,34
3927;63,50;47;4;0,88;1,50;0,43
3960;63,50;47;4;0,81;1,50;0,42
3978;63,50;47;4;0,89;1,47;0,42
4764;63,50;46;4;0,88;1,45;0,41
5019;63,50;47;4;0,85;1,44;0,38
5026;63,50;45;4;0,83;1,44;0,41
5046;63,50;45;4;0,89;1,65;0,43
5070;63,50;47;4;0,84;1,42;0,38
5471;63,50;47;4;0,87;1,37;0,41
5708;63,50;46;4;0,90;1,45;0,41
6591;63,50;46;4;0,86;1,43;0,42
7076;63,50;47;4;0,84;1,35;0,42
1229;63,49;47;4;0,80;1,54;0,39
1230;63,49;47;4;0,80;1,54;0,39
1294;63,49;47;4;1,05;2,00;0,37
1344;63,49;47;4;1,05;2,00;0,34
1358;63,49;47;4;1,01;1,76;0,35
1359;63,49;47;4;1,01;1,76;0,35
1375;63,49;47;4;0,95;1,76;0,35
2452;63,49;47;4;0,93;1,66;0,44
2587;63,49;47;4;0,82;1,64;0,41
2952;63,49;47;4;0,87;1,61;0,41
2953;63,49;47;4;0,87;1,61;0,41
3318;63,49;47;4;0,85;1,63;0,43
3406;63,49;47;4;0,96;1,76;0,39
3408;63,49;47;4;0,96;1,76;0,39
3413;63,49;47;4;0,96;1,77;0,39
3414;63,49;47;4;0,96;1,77;0,39
3433;63,49;47;4;0,98;1,78;0,39
3441;63,49;47;4;0,98;1,78;0,38
3465;63,49;47;4;1,04;2,00;0,38
3534;63,49;47;4;1,08;2,00;0,37
3575;63,49;47;4;1,09;2,00;0,37
3579;63,49;47;4;1,09;2,00;0,38
3644;63,49;47;4;0,85;1,75;0,39
3646;63,49;47;4;0,85;1,75;0,39
3885;63,49;47;4;1,09;2,00;0,38
