shrinkage_alpha_0;shrinkage_alpha_1;knn_k;kmeans_k;last_task_accuracy
9,977579923;0;1;1;63,71357346
9,949079288;0;1;1;63,71357346
9,985711286;2,344226083;20;1;63,71357346
9,977579923;0;1;1;63,71357346
9,978431159;0;31;1;63,71357346
9,968088685;0;1;1;63,71357346
9,963652657;0;1;1;63,71357346
9,977579855;0;1;1;63,71357346
9,977579773;0;1;1;63,71357346
9,979756567;0,010653556;27;1;63,71357346
9,977579923;0;1;1;63,71357346
9,981991909;2,404525755;9;1;63,71357346
9,963481556;0;1;1;63,71357346
9,956746086;0;1;1;63,71357346
9,957784419;0;48;1;63,71357346
9,956070272;0;1;1;63,71357346
9,956911703;0;1;1;63,71357346
9,977579923;0;1;1;63,71357346
9,974123885;0;1;1;63,71357346
9,958926207;0;1;1;63,71357346
9,977579923;0;1;1;63,71357346
9,972564678;0;3;1;63,71357346
9,953002079;0;1;1;63,71357346
9,956638458;0;1;1;63,71357346
9,970068315;0;1;1;63,71357346
9,964093491;0;1;1;63,71357346
9,951964248;0;1;1;63,71357346
9,977579923;0;1;1;63,71357346
9,956267835;0;1;1;63,71357346
9,977579923;0;1;1;63,71357346
9,990119701;1,477879343;34;1;63,71357346
9,950988078;0;1;1;63,71357346
9,97757979;0;1;1;63,71357346
9,97947675;0;3;1;63,71357346
9,97757966;0;1;1;63,71357346
9,957441625;0;1;1;63,71357346
9,976878817;0;1;1;63,71357346
9,965934139;0;2;1;63,71357346
9,960201049;0;1;1;63,71357346
9,960594045;0;1;1;63,71357346
9,968487348;0;1;1;63,71357346
9,977579923;0;1;1;63,71357346
9,977579923;0;1;1;63,71357346
9,953591277;0;2;1;63,71357346
9,955018193;0,001318514;27;1;63,71357346
9,963029191;0;1;1;63,71357346
9,960878935;0;1;1;63,71357346
9,961123246;0;1;1;63,71357346
9,977579923;0;4;1;63,71357346
9,967164002;0;30;1;63,71357346
9,958593298;0,381824608;8;1;63,71357346
9,953254601;0;5;1;63,71357346
9,977579923;0;1;1;63,71357346
9,946357561;0;1;1;63,71357346
9,977579923;0;1;1;63,71357346
9,954942613;0;1;1;63,71357346
9,965426902;0;1;1;63,71357346
9,977579923;0;1;1;63,71357346
9,966176078;0;2;1;63,71357346
9,955065126;0;1;1;63,71357346
9,95627602;0;1;1;63,71357346
9,957463506;0;1;1;63,71357346
9,956639931;0;1;1;63,71357346
9,977579887;0;1;1;63,71357346
9,977579922;0;1;1;63,71357346
9,965555019;0;1;1;63,71357346
9,977579898;0;4;1;63,71357346
9,977579923;0;1;1;63,71357346
9,97740548;0;1;1;63,71357346
9,967197363;0;1;1;63,71357346
9,957090955;0;1;1;63,71357346
9,977579923;0;2;1;63,71357346
9,962436073;0;1;1;63,71357346
9,963784573;0;1;1;63,71357346
9,977579833;0;1;1;63,71357346
9,969337825;0;1;1;63,71357346
9,977579333;0;1;1;63,71357346
9,96535526;0;1;1;63,71357346
9,955854286;0;1;1;63,71357346
