trial;last_task_accuracy;kmeans_k;knn_k;shrinkage_alpha_0;shrinkage_alpha_1;tukey_lambda
6180;72,56;43;4;0,920670049;0,5;0,418905644
6697;72,56;43;4;0,878788514;0,5;0,419245466
6693;72,54;43;4;0,880129393;0,5;0,420410832
6694;72,54;43;4;0,880520348;0,5;0,420451735
6695;72,54;43;4;0,881053816;0,5;0,420698658
1619;72,52;50;6;1,27017264;0,688331332;0,401584729
6696;72,5;43;4;0,886212953;0,5;0,424044634
3608;72,48;50;6;1,268886637;0,668137479;0,400037617
6701;72,48;43;4;0,955914223;0,5;0,415463755
464;72,46;50;6;1,036645858;0,697200952;0,395405413
3756;72,46;50;6;1,263618942;0,696906167;0,400897851
3765;72,46;50;6;1,265363274;0,696521916;0,400950389
4207;72,46;50;6;1,26316816;0,700175319;0,400623736
214;72,44;50;6;1,322449591;0,764681343;0,396301356
400;72,44;50;6;1,2141555;0,685619486;0,378940583
401;72,44;50;6;1,212534848;0,685107629;0,379331879
405;72,44;50;6;1,206189879;0,681758117;0,381640495
406;72,44;50;6;1,204277397;0,6808122;0,382350626
407;72,44;50;6;1,2008942;0,679112504;0,383700523
870;72,44;50;6;1,167595794;0,818807165;0,396109804
925;72,44;50;6;1,242419125;0,961847401;0,39314974
926;72,44;50;6;1,241651544;0,959849314;0,393198219
940;72,44;50;6;1,181168661;0,899541303;0,399931378
941;72,44;50;6;1,180889686;0,89911618;0,399788969
942;72,44;50;6;1,181206431;0,89963667;0,400008165
943;72,44;50;6;1,181268627;0,900095173;0,40007115
2865;72,44;36;8;1,046020517;0,5;0,34830444
3605;72,44;50;6;1,290657373;0,681101409;0,399500006
3635;72,44;50;6;1,261859663;0,689614579;0,404778005
3636;72,44;50;6;1,262751714;0,691834632;0,404783705
3724;72,44;29;4;1,229091878;0,5;0,375822571
4211;72,44;50;6;1,262806466;0,700872399;0,400608058
4685;72,44;27;4;1,075200446;0,5;0,440066921
389;72,42;50;6;1,242062497;0,671528518;0,379971533
390;72,42;50;6;1,24207958;0,671477755;0,38006974
391;72,42;50;6;1,242190551;0,671440258;0,380203593
399;72,42;50;6;1,215668221;0,686174671;0,378488823
402;72,42;50;6;1,21126102;0,684963018;0,379667744
403;72,42;50;6;1,209737335;0,684084909;0,380238691
404;72,42;50;6;1,207860788;0,682942746;0,380927081
918;72,42;50;6;1,256316365;0,956015562;0,389495722
944;72,42;50;6;1,181361089;0,900157739;0,400152345
1618;72,42;50;6;1,23662481;0,680447752;0,402367482
2264;72,42;50;6;1,338513754;0,695733758;0,40719562
2857;72,42;36;8;1,045444745;0,5;0,348056898
2941;72,42;50;6;1,283083445;0,741603552;0,413765053
3000;72,42;50;6;1,321014778;0,723118695;0,40392192
3726;72,42;50;6;1,257612818;0,711540907;0,408643589
