tukey_lambda;shrinkage_alpha_0;shrinkage_alpha_1;knn_k;kmeans_k;last_task_accuracy
0,436200953;1,074169709;1,602045356;6;30;53,11999893
0,434943954;1,069442908;1,607021586;6;30;53,1099968
0,442138631;1,169960414;1,734512526;6;38;53,09999466
0,44492378;1,157192064;1,663245104;6;38;53,07999802
0,434669916;1,064445973;1,606806876;6;30;53,06999588
0,434883301;1,066268471;1,607908374;6;30;53,06999588
0,442238328;1,129660859;1,650893146;6;38;53,06000137
0,442350281;1,12895145;1,649355589;6;38;53,06000137
0,442487954;1,128513779;1,64862152;6;38;53,06000137
0,461492553;1,15769282;1,630573452;6;42;53,02999496
0,453697632;1,021211686;2;6;30;53,02999496
0,438070963;1,185007476;1,672121221;6;38;53,02000046
0,461231715;1,156604317;1,635175773;6;42;53,02000046
0,461147092;1,156112546;1,633918572;6;42;53,02000046
0,461127266;1,156107679;1,63381245;6;42;53,02000046
0,461064155;1,15583123;1,633384056;6;42;53,02000046
0,461052813;1,155797357;1,633176239;6;42;53,02000046
0,461763971;1,156046006;1,629335305;6;42;53,02000046
0,437352323;1,245406039;1,674447519;6;38;53,02000046
0,444037577;1,116943937;1,632356799;6;38;53,02000046
0,461222685;1,156366964;1,634665438;6;42;53,00999832
0,461194992;1,156214005;1,634263481;6;42;53,00999832
0,460988562;1,155698707;1,632906759;6;42;53,00999832
0,46096083;1,155684617;1,632706864;6;42;53,00999832
0,46091725;1,155624919;1,632627346;6;42;53,00999832
0,461975538;1,154636507;1,62835499;6;42;53,00999832
0,433489904;1,233173592;1,671358667;6;38;53,00999832
0,438897212;1,168101172;1,620388835;8;36;53,00999832
0,457798553;1,097222191;1,506522536;6;30;52,99999619
0,460884692;1,15564174;1,632565562;6;42;52,99999619
0,460834816;1,155642702;1,63251331;6;42;52,99999619
0,460787731;1,155713321;1,632518334;6;42;52,99999619
0,460753787;1,155782653;1,632353305;6;42;52,99999619
0,460706431;1,1558934;1,632557834;6;42;52,99999619
0,460666248;1,156000407;1,63260842;6;42;52,99999619
0,460616484;1,156175112;1,632739257;6;42;52,99999619
0,460574896;1,156361535;1,632815248;6;42;52,99999619
0,460567816;1,156596319;1,633135393;6;42;52,99999619
0,429877055;1,169673121;1,592157032;6;38;52,99999619
0,433685181;1,229270921;1,665427004;6;38;52,99999619
0,443942408;1,134681566;1,55016584;6;38;52,99999619
0,455310029;1,177459615;1,690604996;6;37;52,99999619
0,441755913;1,244324039;1,644922122;6;40;52,99999619
0,444953454;1,140756546;1,547505182;6;42;52,99000168
0,455872167;1,14613051;1,654408922;6;38;52,99000168
0,455890215;1,146034462;1,654596441;6;38;52,99000168
0,425418098;1,030416995;1,601123164;6;27;52,99000168
0,425893732;1,029548543;1,598754931;6;27;52,99000168
0,426524242;1,028865587;1,596882169;6;27;52,99000168
0,428914485;1,039714167;1,598933256;6;27;52,99000168
0,447741187;1,268825898;1,63723429;6;38;52,99000168
0,451363442;1,27966351;1,636864102;6;38;52,99000168
0,451359977;1,279877407;1,637408335;6;38;52,99000168
0,451349353;1,280172799;1,638056427;6;38;52,99000168
0,433590741;1,234772903;1,67230168;6;38;52,99000168
0,484903169;0,945214254;1,24462211;4;44;52,99000168
0,444039723;1,004052439;1,583391746;6;30;52,99000168
0,44323155;0,999168212;1,546183573;8;28;52,99000168
0,455860873;1,145703678;1,65473225;6;38;52,97999954
0,443640233;1,000975073;1,583820694;6;30;52,97999954
0,416291582;1,104206658;1,579172346;6;30;52,97999954
0,422040551;1,037242658;2;6;27;52,97999954
0,454447161;1,132407269;1,65294388;6;38;52,96999741
