weight,tukey_lambda,shrinkage_alpha_0,shrinkage_alpha_1,knn_k,kmeans_k,last_task_accuracy
distance,0.693680112164651,4.229988890170132,7.978137852607187,20,14,54.09000015258789
distance,0.001,0.0,0.0,1,1,0.4
distance,0.5005,5.0,5.0,11,11,55.959999084472656
distance,0.75025,2.5,2.5,5,15,58.73999786376953
uniform,0.25075,7.5,7.5,15,5,53.7599983215332
distance,0.375625,3.75,6.25,18,8,56.23999786376953
distance,0.875125,8.75,1.25,8,18,53.13999557495117
distance,0.625375,1.25,8.75,13,13,41.130001068115234
uniform,0.125875,6.25,3.75,3,3,54.35000228881836
distance,0.1883125,3.125,9.375,9,12,59.0099983215332
uniform,0.6878125,8.125,4.375,19,2,55.23999786376953
uniform,0.9375625,0.625,6.875,4,7,15.369998931884766
uniform,0.4380625,5.625,1.875,14,17,53.95000076293945
distance,0.3131875,1.875,3.125,12,19,61.589996337890625
distance,0.8126875,6.875,8.125,2,9,55.39999771118164
distance,0.5629375,4.375,0.625,17,4,51.37000274658203
distance,0.0634375,9.375,5.625,7,14,51.51000213623047
distance,0.09465625,4.6875,4.6875,14,6,54.70000076293945
uniform,0.59415625,9.6875,9.6875,4,16,57.76000213623047
uniform,0.84390625,2.1875,2.1875,19,11,55.159996032714844
uniform,0.34440625,7.1875,7.1875,9,1,56.22999572753906
distance,0.46928125,0.9375,8.4375,6,4,28.020000457763672
distance,0.96878125,5.9375,3.4375,16,14,50.04999542236328
distance,0.71903125,3.4375,5.9375,1,19,57.65999984741211
distance,0.21953125,8.4375,0.9375,11,9,51.59000015258789
distance,0.15709375,1.5625,5.3125,17,17,57.88999938964844
distance,0.65659375,6.5625,0.3125,7,7,51.65999984741211
distance,0.90634375,4.0625,7.8125,12,2,55.209999084472656
uniform,0.40684375,9.0625,2.8125,2,12,56.970001220703125
distance,0.28196875,2.8125,1.5625,5,15,59.40999984741211
uniform,0.78146875,7.8125,6.5625,15,5,50.33000183105469
uniform,0.53171875,0.3125,4.0625,10,10,4.519999980926514
distance,0.03221875,5.3125,9.0625,20,20,50.0
distance,0.047828125,2.65625,7.03125,11,3,43.69999694824219
distance,0.547328125,7.65625,2.03125,1,13,57.150001525878906
distance,0.797078125,0.15625,9.53125,16,18,7.409999370574951
uniform,0.297578125,5.15625,4.53125,6,8,57.62000274658203
uniform,0.422453125,1.40625,0.78125,9,6,59.70000076293945
distance,0.921953125,6.40625,5.78125,19,16,50.13999938964844
distance,0.672203125,3.90625,3.28125,4,11,58.31999969482422
uniform,0.172703125,8.90625,8.28125,14,1,52.8599967956543
uniform,0.235140625,0.78125,2.65625,20,15,60.619998931884766
uniform,0.734640625,5.78125,7.65625,10,5,52.349998474121094
distance,0.984390625,3.28125,0.15625,15,10,52.15999984741211
distance,0.484890625,8.28125,5.15625,5,20,57.06999969482422
uniform,0.360015625,4.53125,8.90625,3,17,59.95999526977539
uniform,0.859515625,9.53125,3.90625,13,7,48.689998626708984
uniform,0.609765625,2.03125,6.40625,8,2,58.97999954223633
distance,0.110265625,7.03125,1.40625,18,12,52.63999557495117
uniform,0.079046875,2.34375,7.96875,3,9,49.269996643066406
distance,0.578546875,7.34375,2.96875,13,19,53.54999923706055
uniform,0.828296875,4.84375,5.46875,8,14,55.529998779296875
uniform,0.328796875,9.84375,0.46875,18,4,52.999996185302734
uniform,0.453671875,3.59375,4.21875,16,1,59.39999771118164
uniform,0.953171875,8.59375,9.21875,6,11,54.15999984741211
uniform,0.703421875,1.09375,1.71875,11,16,60.28999710083008
distance,0.203921875,6.09375,6.71875,1,6,57.209999084472656
uniform,0.141484375,4.21875,2.34375,7,20,56.94000244140625
distance,0.640984375,9.21875,7.34375,17,10,51.349998474121094
uniform,0.890734375,1.71875,4.84375,2,5,54.249996185302734
distance,0.391234375,6.71875,9.84375,12,15,56.529998779296875
uniform,0.266359375,0.46875,6.09375,15,13,34.04999923706055
uniform,0.765859375,5.46875,1.09375,5,3,51.87999725341797
distance,0.516109375,2.96875,8.59375,20,8,56.659996032714844
distance,0.016609375,7.96875,3.59375,10,18,31.31999969482422
uniform,0.0244140625,3.984375,8.203125,17,13,42.5
distance,0.5239140625,8.984375,3.203125,7,3,52.22999954223633
uniform,0.7736640625,1.484375,5.703125,12,8,57.22999572753906
distance,0.2741640625,6.484375,0.703125,2,18,56.079994201660156
distance,0.3990390625,0.234375,4.453125,5,16,2.929999828338623
uniform,0.8985390625,5.234375,9.453125,15,6,50.93000030517578
uniform,0.6487890625,2.734375,1.953125,10,1,59.29999923706055
uniform,0.1492890625,7.734375,6.953125,20,11,52.929996490478516
distance,0.2117265625,2.109375,1.328125,13,5,57.88999938964844
distance,0.7112265625,7.109375,6.328125,3,15,57.220001220703125
uniform,0.9609765625,4.609375,3.828125,18,20,51.82999801635742
distance,0.4614765625,9.609375,8.828125,8,10,55.709999084472656
distance,0.3366015625,3.359375,5.078125,6,7,59.57999801635742
distance,0.8361015625,8.359375,0.078125,16,17,49.769996643066406
distance,0.5863515625,0.859375,7.578125,1,12,23.950000762939453
distance,0.0868515625,5.859375,2.578125,11,2,52.349998474121094
uniform,0.1180703125,1.171875,6.640625,10,19,49.619998931884766
distance,0.6175703125,6.171875,1.640625,20,9,48.89999771118164
distance,0.8673203125,3.671875,9.140625,5,4,56.209999084472656
