weight,tukey_lambda,shrinkage_alpha_0,shrinkage_alpha_1,knn_k,kmeans_k,last_task_accuracy
uniform,0.3933643842047338,9.065528446145384,9.160874935594348,17,13,53.929996490478516
distance,0.011732857005052496,9.042470644909695,2.05196611181659,15,16,25.759998321533203
uniform,0.9589463890836382,3.1872105453983703,7.820595931095895,20,11,53.79999923706055
uniform,0.3366855479266411,8.272262088775678,3.1833620415979844,20,15,51.98999786376953
distance,0.02891019923633361,1.3947505904394886,7.948711386296089,12,5,31.720001220703125
distance,0.09956807431742623,6.503045762186633,3.5689500229028956,5,13,54.130001068115234
uniform,0.011818407479489187,7.9457228875996835,6.465760346596392,6,4,30.6299991607666
uniform,0.5287627886702861,8.347273422601946,6.685252243325698,16,12,53.46999740600586
distance,0.7922214834337953,3.198716978931324,9.866561791510458,11,5,55.68000030517578
distance,0.9490686990500694,4.391229829049407,5.298657749578821,8,17,55.03999710083008
distance,0.7236091231519597,0.800002363242696,0.2336933055562227,1,8,58.459999084472656
distance,0.7365472533653397,0.3192788363939081,0.32754490344334747,1,8,53.63999557495117
distance,0.7366793573340288,2.8391554333117517,9.916020701875222,11,7,56.8699951171875
distance,0.6649649018468052,1.8264805433685023,0.3716938102957359,3,8,59.429996490478516
distance,0.5941642819467101,0.23411457799948177,0.29169783393851023,1,1,57.790000915527344
distance,0.8395079704826177,1.6964269602864732,1.571007956789435,4,9,58.52000045776367
distance,0.8691901416979608,1.9851303056836913,1.7629176742390649,4,19,57.540000915527344
distance,0.6114799745064442,4.630226150618424,1.759514971014315,7,9,55.089996337890625
distance,0.38104614873959064,5.7784940454812865,3.461476984246592,3,3,55.659996032714844
distance,0.636910544298301,2.140725153747103,4.576868557051862,9,10,58.95999526977539
distance,0.23594688102407851,2.473136750708119,4.635208674522997,9,6,60.06999588012695
distance,0.21653183121165775,2.598100853689809,4.5286382656469835,9,6,59.59999465942383
distance,0.20656362323391966,4.211528131671156,5.254412517902004,14,6,55.75999450683594
distance,0.2459448217291082,3.715816822701229,4.328906787951009,8,1,58.939998626708984
distance,0.23483533633212605,2.6625686601248617,6.1093439443706865,13,7,59.20999526977539
distance,0.483547416385552,1.0125745264758828,2.4658791279505254,9,3,60.749996185302734
uniform,0.4721107002886579,1.1065122335493207,2.941436416754457,9,3,61.05999755859375
uniform,0.47312822440084823,1.177727038461719,2.4992834814708544,10,2,62.220001220703125
uniform,0.4728999711920517,0.9777556088719126,2.6828469677400872,10,3,61.12999725341797
