weight,shrinkage_alpha_0,knn_k,kmeans_k,last_task_accuracy
distance,3.1530168044141114,9,14,86.5999984741211
distance,8.808057184274116,14,19,86.35999298095703
uniform,5.902791966372534,5,14,86.57999420166016
uniform,4.278403173913236,13,3,86.38999938964844
distance,2.164947931728051,9,17,86.42999267578125
distance,6.267629832978992,13,4,86.07999420166016
distance,2.177887223202135,6,15,86.5199966430664
distance,5.0749367195170505,3,8,86.77999877929688
uniform,4.576391308302288,16,5,86.1399917602539
distance,9.450306429945286,3,10,86.53999328613281
uniform,3.1223213019698393,3,5,86.43999481201172
distance,5.3197054253546465,2,11,86.68999481201172
distance,2.369132300109018,3,8,86.6199951171875
distance,4.813128130688717,5,8,86.7199935913086
distance,6.048623633531449,1,5,86.78999328613281
distance,4.953133183380851,1,1,86.75
distance,5.363604164297767,2,5,86.75
distance,6.960195394088492,1,1,86.83999633789062
uniform,7.716528268224656,1,1,86.75999450683594
distance,6.566121977836538,3,1,86.82999420166016
distance,6.8456954318352095,1,1,86.82999420166016
uniform,0.0,20,1,76.94000244140625
uniform,4.74778272186565,1,1,86.80999755859375
uniform,10.0,20,1,86.73999786376953
uniform,10.0,1,1,86.73999786376953
uniform,7.388125019102106,13,1,86.75999450683594
uniform,10.0,12,20,86.60999298095703
distance,10.0,20,1,86.73999786376953
uniform,9.22841451168369,9,1,86.72999572753906
uniform,5.234460029310877,8,1,86.7699966430664
uniform,4.010882370208055,1,20,86.52999877929688
uniform,8.530099670407013,20,20,86.20999908447266
distance,10.0,11,1,86.73999786376953
distance,9.951591938734055,20,20,86.20999908447266
uniform,10.0,1,20,86.23999786376953
distance,8.496383045421352,6,1,86.72999572753906
uniform,4.073150729530514,2,1,86.77999877929688
uniform,10.0,12,1,86.73999786376953
distance,3.330000642229697,1,20,86.52999877929688
distance,0.0,1,1,76.94000244140625
uniform,6.187203251071324,1,1,86.81999969482422
distance,2.5655719542139566,1,20,86.47999572753906
