weight,shrinkage_alpha_0,knn_k,kmeans_k,last_task_accuracy
uniform,2.7988678811562293,1,16,86.77999877929688
distance,0.0,1,1,76.94000244140625
distance,5.0,11,11,86.50999450683594
distance,7.5,5,5,86.49999237060547
distance,2.5,15,15,86.22999572753906
distance,3.75,8,13,86.49999237060547
distance,8.75,18,3,86.40999603271484
distance,6.25,3,18,86.68999481201172
distance,1.25,13,8,84.93000030517578
distance,1.875,7,19,86.40999603271484
uniform,6.875,17,9,84.62999725341797
uniform,9.375,2,14,86.49999237060547
uniform,4.375,12,4,86.31999206542969
uniform,3.125,4,7,86.68999481201172
uniform,8.125,14,17,86.42999267578125
distance,5.625,9,2,86.49999237060547
distance,0.625,19,12,84.08000183105469
uniform,0.9375,10,10,85.57999420166016
distance,5.9375,20,20,86.31999206542969
distance,8.4375,5,5,86.42999267578125
distance,3.4375,15,15,86.47999572753906
distance,4.6875,2,17,86.75999450683594
uniform,9.6875,12,7,86.3699951171875
distance,7.1875,7,12,86.5199966430664
distance,2.1875,17,2,86.16999816894531
distance,1.5625,4,11,86.17999267578125
distance,6.5625,14,1,86.82999420166016
uniform,9.0625,9,16,86.37999725341797
distance,4.0625,19,6,85.6399917602539
distance,2.8125,6,4,86.49999237060547
distance,7.8125,16,14,86.42999267578125
distance,5.3125,1,9,86.8499984741211
distance,0.3125,11,19,84.56999969482422
distance,0.46875,6,15,85.08999633789062
distance,5.46875,16,5,85.69999694824219
distance,7.96875,1,20,86.38999938964844
uniform,2.96875,11,10,86.31999206542969
distance,4.21875,3,2,86.41999816894531
uniform,9.21875,13,12,86.2699966430664
distance,6.71875,8,7,86.64999389648438
uniform,1.71875,18,17,86.03999328613281
uniform,2.34375,2,6,86.53999328613281
distance,7.34375,12,16,86.43999481201172
uniform,9.84375,7,1,86.73999786376953
uniform,4.84375,17,11,86.0999984741211
distance,3.59375,10,18,86.62999725341797
uniform,8.59375,20,8,85.35999298095703
uniform,6.09375,5,13,86.69999694824219
distance,1.09375,15,3,85.57999420166016
uniform,0.78125,5,16,85.62999725341797
distance,5.78125,15,6,85.66999816894531
uniform,8.28125,10,11,86.50999450683594
distance,3.28125,20,1,86.73999786376953
distance,4.53125,8,9,86.54999542236328
uniform,9.53125,18,19,86.35999298095703
distance,7.03125,3,4,86.44999694824219
distance,2.03125,13,14,86.16999816894531
distance,1.40625,9,5,84.91999816894531
distance,6.40625,19,15,86.39999389648438
distance,8.90625,4,10,86.67999267578125
uniform,3.90625,14,20,86.56999969482422
distance,2.65625,1,13,86.50999450683594
distance,7.65625,11,3,86.3499984741211
uniform,5.15625,6,18,86.75
distance,0.15625,16,8,82.04000091552734
distance,0.234375,8,17,84.52999877929688
uniform,5.234375,18,7,84.61000061035156
distance,7.734375,3,12,86.69999694824219
distance,2.734375,13,2,86.3699951171875
uniform,3.984375,1,9,86.79999542236328
distance,8.984375,11,19,86.50999450683594
uniform,6.484375,6,4,86.62999725341797
uniform,1.484375,16,14,85.70999145507812
uniform,2.109375,5,3,85.83999633789062
uniform,7.109375,15,13,86.20999908447266
distance,9.609375,10,8,86.47999572753906
uniform,4.609375,20,18,86.37999725341797
uniform,3.359375,7,11,86.37999725341797
uniform,8.359375,17,1,86.75
uniform,5.859375,2,16,86.66999816894531
distance,0.859375,12,6,84.20999908447266
uniform,1.171875,3,14,85.94999694824219
uniform,6.171875,13,4,86.37999725341797
distance,8.671875,8,19,86.75
distance,3.671875,18,9,85.80999755859375
uniform,4.921875,10,1,86.75
uniform,9.921875,20,11,85.60999298095703
uniform,7.421875,5,6,86.44999694824219
distance,2.421875,15,16,86.30999755859375
uniform,1.796875,7,8,86.15999603271484
uniform,6.796875,17,18,86.29999542236328
distance,9.296875,2,3,86.3699951171875
distance,4.296875,12,13,86.55999755859375
distance,3.046875,4,20,86.64999389648438
distance,8.046875,14,10,86.19999694824219
uniform,5.546875,9,15,86.54999542236328
uniform,0.546875,19,5,84.83999633789062
distance,0.390625,3,8,84.91999816894531
distance,5.390625,13,18,86.47999572753906
uniform,7.890625,8,3,86.20999908447266
distance,2.890625,18,13,86.31999206542969
distance,4.140625,6,16,86.7699966430664
distance,9.140625,16,6,85.53999328613281
distance,6.640625,1,11,86.64999389648438
uniform,1.640625,11,1,86.19999694824219
uniform,2.265625,9,12,86.2699966430664
distance,7.265625,19,2,86.38999938964844
uniform,9.765625,4,17,86.5999984741211
uniform,4.765625,14,7,84.97999572753906
uniform,3.515625,2,5,86.7199935913086
uniform,8.515625,12,15,86.33999633789062
distance,6.015625,7,10,86.5199966430664
uniform,1.015625,17,20,85.41999816894531
uniform,0.703125,8,3,84.73999786376953
distance,5.703125,18,13,86.3499984741211
uniform,8.203125,3,8,86.54999542236328
uniform,3.203125,13,18,86.39999389648438
uniform,4.453125,5,15,86.62999725341797
distance,9.453125,15,5,85.5999984741211
distance,6.953125,10,20,86.77999877929688
distance,1.953125,20,10,84.90999603271484
uniform,1.328125,1,19,86.06999206542969
distance,6.328125,11,9,86.35999298095703
uniform,8.828125,6,14,86.47999572753906
distance,3.828125,16,4,86.17999267578125
distance,2.578125,9,7,86.18999481201172
distance,7.578125,19,17,86.27999877929688
uniform,5.078125,4,2,86.29999542236328
uniform,0.078125,14,12,82.7699966430664
uniform,0.1171875,7,6,82.81999969482422
uniform,5.1171875,17,16,86.3499984741211
distance,7.6171875,2,1,86.7699966430664
distance,2.6171875,12,11,86.27999877929688
uniform,3.8671875,5,19,86.70999908447266
uniform,8.8671875,15,9,85.92999267578125
uniform,6.3671875,10,14,86.41999816894531
distance,1.3671875,20,4,85.50999450683594
distance,1.9921875,1,15,86.44999694824219
uniform,6.9921875,11,5,86.00999450683594
uniform,9.4921875,6,20,86.5999984741211
distance,4.4921875,16,10,86.2699966430664
distance,3.2421875,8,3,86.47999572753906
uniform,8.2421875,18,13,86.24999237060547
distance,5.7421875,3,8,86.70999908447266
uniform,0.7421875,13,18,85.12999725341797
uniform,1.0546875,4,4,85.45999145507812
distance,6.0546875,14,14,86.5199966430664
uniform,8.5546875,9,9,86.5199966430664
distance,3.5546875,19,19,86.37999725341797
distance,4.8046875,7,12,86.65999603271484
uniform,9.8046875,17,2,86.47999572753906
uniform,7.3046875,2,17,86.62999725341797
uniform,2.3046875,12,7,85.90999603271484
uniform,1.6796875,10,16,86.1399917602539
uniform,6.6796875,20,6,85.79999542236328
distance,9.1796875,5,11,86.3699951171875
distance,4.1796875,15,1,86.7699966430664
uniform,2.9296875,3,8,86.75
distance,7.9296875,13,18,86.42999267578125
uniform,5.4296875,8,3,86.27999877929688
distance,0.4296875,18,13,83.91999816894531
uniform,0.5859375,2,20,85.58999633789062
distance,5.5859375,12,10,86.54999542236328
uniform,8.0859375,7,15,86.42999267578125
uniform,3.0859375,17,5,86.2699966430664
distance,4.3359375,9,8,86.4699935913086
uniform,9.3359375,19,18,86.16999816894531
distance,6.8359375,4,3,86.64999389648438
uniform,1.8359375,14,13,85.8699951171875
uniform,2.4609375,6,2,86.5199966430664
uniform,7.4609375,16,12,86.40999603271484
distance,9.9609375,1,7,86.63999938964844
uniform,4.9609375,11,17,86.5199966430664
distance,3.7109375,3,14,86.44999694824219
distance,8.7109375,13,4,85.97999572753906
uniform,6.2109375,8,19,86.8499984741211
distance,1.2109375,18,9,84.79000091552734
uniform,0.8984375,9,11,85.38999938964844
uniform,5.8984375,19,1,86.83999633789062
distance,8.3984375,4,16,86.7199935913086
uniform,3.3984375,14,6,85.41999816894531
distance,4.6484375,1,4,86.5999984741211
uniform,9.6484375,11,14,86.3699951171875
uniform,7.1484375,6,9,86.72999572753906
distance,2.1484375,16,19,86.20999908447266
uniform,1.5234375,5,10,86.05999755859375
distance,6.5234375,15,20,86.3699951171875
distance,9.0234375,10,5,85.90999603271484
uniform,4.0234375,20,15,86.39999389648438
distance,2.7734375,7,17,86.6199951171875
distance,7.7734375,17,7,85.47999572753906
uniform,5.2734375,2,12,86.66999816894531
distance,0.2734375,12,2,83.91999816894531
distance,0.1953125,4,12,84.55000305175781
uniform,5.1953125,14,2,86.58999633789062
uniform,7.6953125,9,17,86.54999542236328
uniform,2.6953125,19,7,84.66999816894531
distance,3.9453125,7,5,86.33999633789062
uniform,8.9453125,17,15,86.3699951171875
distance,6.4453125,2,10,86.78999328613281
uniform,1.4453125,12,20,85.90999603271484
uniform,2.0703125,8,9,86.37999725341797
distance,7.0703125,18,19,86.41999816894531
distance,9.5703125,3,4,86.42999267578125
uniform,4.5703125,13,14,86.49999237060547
uniform,3.3203125,1,16,86.7699966430664
uniform,8.3203125,11,6,85.33999633789062
distance,5.8203125,6,11,86.6199951171875
uniform,0.8203125,16,1,85.44999694824219
distance,1.1328125,6,18,86.08999633789062
uniform,6.1328125,16,8,85.48999786376953
uniform,8.6328125,1,13,86.60999298095703
uniform,3.6328125,11,3,86.45999908447266
distance,4.8828125,4,6,86.52999877929688
uniform,9.8828125,14,16,86.2199935913086
