weight,shrinkage_alpha_0,shrinkage_alpha_1,knn_k,kmeans_k,last_task_accuracy
uniform,3.78879563372029,1.834302692146721,6,7,86.57999420166016
uniform,8.94194057261348,5.731631704877045,16,16,86.33999633789062
uniform,6.096334268477782,8.870692425879268,9,6,86.27999877929688
distance,0.43993284959303436,3.2574208711717176,9,3,83.97000122070312
uniform,2.535188341853154,2.0673782332743764,19,4,86.47999572753906
distance,2.434424002125233,5.524829853574806,9,2,86.32999420166016
distance,6.14830999194274,9.388596350401384,9,1,86.82999420166016
distance,7.916965927419851,7.32727997913591,18,17,86.3499984741211
uniform,0.5288070284808521,9.300022166447087,17,6,83.87000274658203
uniform,7.487925664629365,2.2596654725579435,9,13,86.41999816894531
distance,5.599841814121206,7.719730691749289,1,10,86.73999786376953
distance,5.9316252655006405,7.689626563376098,1,11,86.69999694824219
distance,4.464706473522803,7.218692196969668,1,9,86.83999633789062
distance,3.830136390393986,9.991640721818996,5,20,86.72999572753906
distance,9.89384822993592,0.16191064935507526,13,1,86.73999786376953
distance,4.340556485956891,6.678685037751485,4,9,86.85999298095703
distance,4.109844047634161,4.284668688152642,4,9,86.79999542236328
distance,2.270592789965717,6.263672452357222,3,14,86.39999389648438
distance,5.173046606346537,6.8205749140723295,6,8,86.66999816894531
distance,7.048327364307076,4.5115644108774084,3,12,86.64999389648438
distance,4.235659252836816,8.456284674197253,13,5,85.69999694824219
distance,4.848834275341304,8.216010997782073,7,9,86.54999542236328
distance,6.467374828127073,6.498642566808004,1,15,86.64999389648438
distance,3.2278975178978637,9.6645086095104,12,18,86.54999542236328
distance,4.891381485346243,7.199487897977155,3,11,86.70999908447266
distance,6.5751850187518155,8.796176081148971,7,1,86.82999420166016
distance,1.7539497301792473,5.311626219273502,4,8,86.39999389648438
distance,3.151063077258371,6.191946252058045,12,4,86.03999328613281
distance,8.578209122092144,8.10150922033871,2,13,86.58999633789062
uniform,4.7066037412624295,3.946801949964385,6,7,86.67999267578125
distance,1.6022094749422733,9.20067874255264,7,6,85.78999328613281
distance,6.725298671908394,8.823278978932205,8,1,86.8499984741211
distance,5.44569554225353,6.873602408055714,11,3,86.58999633789062
distance,7.047157580676291,8.802094423130452,5,2,86.32999420166016
uniform,8.430746957281423,7.729767456053538,10,4,86.05999755859375
distance,6.0407329542210215,5.848620081393058,8,1,86.81999969482422
uniform,3.200054083351004,9.444972531634951,5,3,86.17999267578125
distance,4.510398280577605,8.495170926043361,15,5,85.65999603271484
distance,6.577889641778093,4.974663567297581,10,7,86.4699935913086
uniform,7.542680755215098,9.97302551987104,8,2,86.5199966430664
distance,5.549820586008665,7.537192797333006,2,5,86.78999328613281
distance,6.438886845404312,8.95453907588803,8,1,86.81999969482422
distance,6.980058800255684,8.758180818817884,7,2,86.39999389648438
distance,5.9279446229417045,8.052613688072256,20,3,86.56999969482422
distance,3.684918945171818,7.132380654025502,9,1,86.78999328613281
distance,7.955267779607782,9.319029239011696,4,10,86.65999603271484
distance,5.313272223423671,7.937205420925266,6,3,86.35999298095703
uniform,7.736743649867173,8.701754281105014,2,9,84.44000244140625
