shrinkage_alpha_0,shrinkage_alpha_1,knn_k,kmeans_k,last_task_accuracy
7.569899960155592,3.6568467423691766,24,15,61.21565628051758
0.6042491660600802,5.855561202747328,22,17,45.62864303588867
9.573833708483976,7.92638886596282,34,31,60.5994987487793
6.086198660833253,1.8502667728524058,22,48,0.4
1.248543716834385,1.3423909476176876,2,14,55.42048263549805
7.188429362047998,2.04911555469966,48,38,59.4837646484375
0.20893974799184645,4.754463073509961,45,25,33.821815490722656
2.4793211375821134,8.09253921521798,33,7,55.537052154541016
1.3346096534202456,2.242256852836441,37,8,49.392173767089844
5.383894021139739,0.537286193368981,29,47,0.4
10.0,4.972106566684889,50,26,60.266448974609375
8.034935060497038,0.7243124952435588,50,32,59.683597564697266
10.0,9.999999999999998,30,12,61.31557083129883
10.0,10.0,50,38,59.583683013916016
6.701723805276765,7.83940915153739,9,1,61.73189163208008
6.829731414168575,0.0,22,1,63.014156341552734
9.999999999999998,0.0,1,7,62.764366149902344
10.0,0.0,15,7,62.081600189208984
10.0,9.999999999999998,1,17,61.9483757019043
10.0,10.0,36,24,61.082435607910156
10.0,0.0,50,1,63.696922302246094
6.892399462729465,10.0,50,1,63.0974235534668
10.0,0.0,1,35,60.3996696472168
10.0,0.0,1,14,61.865116119384766
6.724256042582743,10.0,1,11,62.014991760253906
10.0,0.0,50,35,59.833473205566406
6.277622542530361,10.0,27,35,60.349708557128906
10.0,0.0,1,22,60.96586608886719
10.0,0.0,1,1,63.696922302246094
10.0,10.0,1,5,62.447959899902344
0.0,10.0,1,1,39.21731948852539
6.004108862225231,0.0,1,7,62.114906311035156
8.305348240145875,0.0,50,1,63.44712829589844
6.551039225918414,10.0,50,5,60.582847595214844
4.70867302973272,0.0,1,13,61.182350158691406
9.999999999999998,10.0,50,1,63.663612365722656
10.0,0.0,50,18,60.316402435302734
8.132892271499657,10.0,50,36,58.501251220703125
10.0,10.0,1,27,60.882598876953125
4.213494823012433,0.0,1,35,60.366363525390625
8.80756629323634,0.0,1,3,62.897586822509766
10.0,10.0,1,1,63.663612365722656
10.0,4.83535443413933,25,1,63.680267333984375
7.6580377998820515,9.999999999999998,1,20,61.798500061035156
6.579995608354031,0.0,1,35,60.5994987487793
0.0,9.999999999999998,50,35,36.53622055053711
6.438900637330245,10.0,1,28,60.69942092895508
5.11956555883489,0.0,50,34,58.601165771484375
4.039999653288748,10.0,1,11,60.8326416015625
10.0,0.0,1,3,62.947547912597656
10.0,10.0,1,10,61.9483757019043
6.263877878910006,0.0,50,1,62.71440505981445
8.742437004595882,10.0,50,1,62.39800262451172
7.419037829212913,0.0,1,24,60.84929275512695
8.107341912039868,0.0,1,10,61.981685638427734
10.0,0.0,26,1,63.696922302246094
10.0,0.0,1,39,60.43297576904297
5.892124815906583,10.0,1,16,61.88176727294922
6.81301945088893,0.0,1,18,61.965030670166016
7.043294887863139,0.0,1,4,62.71440505981445
4.903962194901136,10.0,1,32,60.516239166259766
8.198578561761426,10.0,1,15,51.89009475708008
3.499291380883969,0.0,1,27,60.03330993652344
6.93259952481537,0.0,50,12,59.267276763916016
4.561763658771955,0.0,1,1,61.84846115112305
7.882028825997397,0.0,1,5,62.747711181640625
6.951633109448929,9.999999999999998,50,33,59.55037307739258
2.8754681718232593,0.0,1,16,59.90008544921875
10.0,0.0,50,50,0.4
5.935188867344378,7.052245765210444,35,19,58.501251220703125
10.0,0.0,1,1,63.696922302246094
10.0,0.0,50,1,63.696922302246094
7.8683309569519775,0.0,1,1,63.44712829589844
10.0,9.999999999999998,50,7,59.90008544921875
10.0,0.0,1,1,63.696922302246094
10.0,10.0,1,1,63.663612365722656
10.0,0.0,1,1,63.696922302246094
10.0,0.0,50,1,63.696922302246094
10.0,0.0,25,1,63.696922302246094
10.0,0.0,1,1,63.696922302246094
5.2248056488768775,0.0,1,20,61.382179260253906
10.0,10.0,1,1,63.663612365722656
10.0,10.0,1,21,61.182350158691406
5.423340769658549,0.0,1,30,60.49958419799805
10.0,0.0,50,1,63.696922302246094
5.940004540139677,10.0,1,6,62.04829406738281
10.0,10.0,1,37,60.466278076171875
10.0,10.0,31,1,63.663612365722656
