weight,tukey_lambda,shrinkage_alpha_0,shrinkage_alpha_1,knn_k,kmeans_k,last_task_accuracy
distance,0.7446823790661043,2.379718995210137,1.972981959831951,12,12,48.48999786376953
distance,0.9258349793728325,1.6631923356699307,4.122993090348538,3,15,45.80999755859375
distance,0.14060138897763783,8.710111836144677,1.286302398085858,1,6,39.7599983215332
distance,0.5604825442634743,4.115856571466314,1.8100691644757516,17,15,47.099998474121094
uniform,0.5459175176794833,3.172504325201704,9.331524369644923,8,5,49.21999740600586
distance,0.02071258259482331,1.679243058962877,9.398148998886827,18,19,7.84999942779541
distance,0.5935413437069568,8.483391978982795,1.5472906981578805,13,4,44.0099983215332
distance,0.22808355687275142,3.100009869670065,7.179903045198964,16,18,47.790000915527344
uniform,0.8889567081864473,1.6731546867909308,9.444178068496477,10,18,45.04999923706055
uniform,0.6089810579406579,0.185608553546609,8.87843786001989,9,10,1.2000000476837158
uniform,1.0,3.2073077805313632,8.728733424567936,7,20,45.80999755859375
distance,0.1949484518460573,4.4018475516135975,10.0,2,14,45.25
distance,1.0,2.7527999472443563,10.0,20,7,44.13999938964844
uniform,0.4380877266520554,3.3400186659841733,0.0,2,20,48.65999984741211
uniform,1.0,10.0,10.0,20,20,43.97999954223633
distance,0.604045619145441,3.107017689955926,7.180510793844172,1,20,49.779998779296875
distance,0.15992865332773482,3.8269696695774478,0.0,20,1,44.709999084472656
uniform,1.0,2.2655676173490464,0.0,1,20,43.439998626708984
uniform,0.4490944595899666,3.5728273132217385,9.999999999999998,20,20,49.06999588012695
uniform,1.0,7.118886823400807,10.0,1,20,44.47999954223633
distance,0.4620349055408985,3.3104117672050686,3.6797328531471916,16,20,49.689998626708984
distance,1.0,6.423630852746172,0.0,20,1,44.619998931884766
uniform,0.001,6.422917787029435,0.0,20,20,13.229998588562012
distance,1.0,10.0,0.0,1,1,44.30999755859375
distance,0.30501923891163085,10.0,10.0,20,1,45.69999694824219
distance,1.0,8.379514187054543,10.0,1,1,44.459999084472656
distance,0.36938067792274565,3.5537340551581775,10.0,1,12,49.47999954223633
distance,1.0,5.1849124441977565,10.0,1,20,44.39999771118164
uniform,0.4213571818247512,9.999999999999998,0.0,1,20,47.23999786376953
distance,0.001,10.0,0.0,20,20,14.539999961853027
uniform,0.5246917569517512,9.994856028311112,10.0,1,1,47.07999801635742
distance,0.6268472154012595,9.915190291360767,9.999999999999998,1,20,47.43000030517578
distance,0.5059689720165593,10.0,0.0,1,1,45.0099983215332
uniform,0.7302957994132339,9.298858992066508,0.0,1,20,47.119998931884766
distance,0.6480702667995691,3.3548550774958286,0.0,1,1,46.369998931884766
distance,0.8190620707015507,2.4931064872960738,10.0,1,20,45.7599983215332
uniform,0.7164038833794313,3.0534840360170983,4.851287553612292,20,20,48.279998779296875
uniform,0.5755878091837844,3.6866583181731234,10.0,1,20,49.429996490478516
uniform,0.3875508139600586,8.995082441278639,10.0,1,1,47.29999923706055
distance,0.31974420376409596,3.6047169824372367,10.0,13,20,48.18000030517578
uniform,1.0,4.88300700782614,10.0,20,1,45.279998779296875
uniform,0.5477454734275325,9.756404377953752,10.0,20,20,47.189998626708984
uniform,0.6021759457408195,4.702779723318658,10.0,1,1,48.94999694824219
uniform,0.3193286193924445,3.775246355835296,10.0,1,1,49.369998931884766
distance,0.7171454439587889,6.168066356321123,10.0,1,1,47.599998474121094
uniform,0.823650076735344,5.498512149415614,0.0,1,1,45.54999923706055
distance,0.4185794385636604,3.3130746551124957,10.0,20,1,50.30999755859375
uniform,0.7119638714913767,5.204489458529819,10.0,20,20,47.21999740600586
