weight,tukey_lambda,shrinkage_alpha_0,shrinkage_alpha_1,knn_k,kmeans_k,last_task_accuracy
uniform,0.10888343094751785,7.59550657813965,5.950917578945779,12,18,41.37000274658203
distance,0.1574171236809323,1.4231306523961684,4.558701390822513,10,18,43.880001068115234
distance,0.7944192308837543,4.472580492809541,4.097281762184757,6,9,47.540000915527344
distance,0.639481311363949,1.30026718233196,3.4093128007175033,20,12,49.279998779296875
distance,0.9954827967905456,9.55120579526562,7.268213905503607,4,2,44.290000915527344
distance,0.28891507812803874,2.3319580357179737,3.441834079855899,18,2,50.790000915527344
uniform,0.5407568972110387,8.091134961900238,8.78639856189755,2,13,48.349998474121094
distance,0.21483325449108515,3.554731045346262,9.57264249516642,20,16,45.29999923706055
distance,0.07737136737090411,6.134035003667583,7.111839219190047,5,4,39.16999816894531
uniform,0.6337774848135116,6.390148842718215,7.018504933642149,11,11,47.75
uniform,0.41321803521123135,0.13398412706700835,0.06726684322428644,16,6,44.560001373291016
distance,0.36924116898238635,2.368392082980372,2.275678447425525,19,8,48.63999938964844
distance,0.6735734919440861,0.08200956283378602,2.5378020106854304,16,13,1.0199999809265137
distance,0.32961530347915424,2.5360535726640965,2.806295962278364,16,1,51.470001220703125
distance,0.31722428755781024,3.323935150418703,0.5977917299214641,15,1,48.130001068115234
distance,0.24539955204767788,2.52249540547068,1.518990937887933,14,5,46.93000030517578
distance,0.45894561582377263,4.922009451878088,5.464885128162694,18,3,46.93000030517578
distance,0.019666778764808934,1.6081161910580575,3.129144331290521,8,1,26.60999870300293
uniform,0.2857252983002031,4.113258748835934,1.3320086202967163,13,7,46.30999755859375
distance,0.5065451881538412,2.668474762986591,3.925400328616413,17,4,47.61000061035156
distance,0.18108624052431688,5.638310006850381,5.156759738042948,9,9,44.92000198364258
distance,0.7886097571388594,1.3605213143603292,3.381824336344447,20,12,47.35000228881836
distance,0.5988106454389974,0.7130293099671086,2.2855184024387754,17,16,49.86000061035156
distance,0.3559075694028422,0.643999126167582,2.0668957311443448,18,20,50.8800048828125
distance,0.377966425007503,2.293112658678683,1.4381077242966134,18,20,49.779998779296875
distance,0.31925981239783846,3.1936975546747446,2.749145723347886,14,3,48.15999984741211
uniform,0.45606594003595513,0.7908878965756861,1.732637050747598,18,6,48.78999710083008
distance,0.28473249036378356,1.8142111455433247,0.6872986986930636,15,15,49.779998779296875
distance,0.3814365472791066,3.875709702600334,4.119980843795734,13,20,49.47999954223633
uniform,0.1043390824449919,0.6913875793389757,6.148837029600945,16,1,13.429999351501465
distance,0.16395986806096205,2.7946728842071327,4.531810762138375,12,4,45.55999755859375
distance,0.5929087598157673,0.7563262460782691,2.114688165017079,17,18,50.279998779296875
distance,0.554537362966832,1.9647449052234398,2.0627669852767228,19,19,50.279998779296875
distance,0.7273100107755992,1.0005455909367553,2.9430057199988298,17,18,48.459999084472656
distance,0.45817752533133793,0.18324083743024966,3.6041608737621385,19,17,1.3700000047683716
distance,0.9204115290058765,1.9058830629914074,0.7322603738343494,15,19,46.790000915527344
distance,0.25096774726714655,1.261164568791347,4.777999530894744,18,14,47.44000244140625
distance,0.341120827886843,4.593563969837781,3.9424301429026505,20,18,47.31999969482422
distance,0.5593162545144165,3.192730329113875,1.9442468194892715,1,2,50.68000030517578
uniform,0.4336994578379725,3.2208266440777296,1.0861161185417745,1,3,50.349998474121094
distance,0.5072877845365159,8.109085328694588,0.03876861378632768,7,2,44.27000045776367
uniform,0.4237623864896355,3.0458317994051822,1.0290843231055333,1,2,50.480003356933594
uniform,0.40744109662817335,3.8967905340806706,2.7407384139104556,3,2,48.959999084472656
uniform,0.21487156039441768,3.0253799544780833,1.9248568249466063,1,2,48.279998779296875
uniform,0.5479035719877962,5.3057887835049,0.9123678233891281,4,4,47.67000198364258
uniform,0.3448294988782947,2.3334723286092913,3.1565277983746793,2,10,51.290000915527344
uniform,0.340979729236189,2.060772704118508,4.384539423256129,3,10,51.130001068115234
uniform,0.34451010427404155,2.2935751145579086,4.37231862349141,6,10,51.160003662109375
uniform,0.3458289612693292,2.2926849056161434,5.766931890789968,5,10,50.66999816894531
uniform,0.24146453591778977,1.50560515398303,6.4500457413964085,6,11,45.540000915527344
uniform,0.29152036029857087,0.37156449036769756,4.262784670226596,3,9,30.939998626708984
uniform,0.20259935470787332,2.1858303831848085,3.544123364870178,3,8,48.63999938964844
uniform,0.2773973597737787,2.5945811942024553,5.154266999792055,2,10,49.65999984741211
uniform,0.12249526947653894,3.5957360579669846,8.167941497387643,10,13,41.86000061035156
uniform,0.3381388825851832,1.7656402410749772,3.0772109373581182,4,12,51.7599983215332
uniform,0.3720037541241912,9.463345988701905,3.1006357273137826,5,12,46.68000030517578
uniform,0.33740419208825784,1.2941460764458435,4.5570339403251685,4,8,50.779998779296875
uniform,0.47649061256879666,1.6583927210427474,2.453822263299106,2,7,51.89999771118164
uniform,0.5083155423142941,1.8238189397283913,2.52834339744465,2,12,51.36000061035156
uniform,0.5127954630849361,1.7935003446376403,2.360452494447882,2,12,51.279998779296875
uniform,0.4790410027063376,1.6722421925993431,2.532283527741562,2,12,51.709999084472656
uniform,0.4976983749440435,1.669499048893258,2.303514139775488,2,12,51.630001068115234
uniform,0.48699383045988,1.1322974904876209,2.7610190905777943,2,14,51.77000045776367
uniform,0.6468338038018527,1.0852287262780251,2.623586033242872,2,14,49.57999801635742
uniform,0.48863351302951596,1.5680794708851966,2.4890052794165616,2,13,51.72999954223633
uniform,0.4738900025250742,1.5404948664061193,1.6822157197417287,4,13,52.17000198364258
uniform,0.4846868136909151,1.5874495635016945,1.6563772384640556,4,13,52.14999771118164
uniform,0.6016042004393977,0.40649226694006124,1.4826497461748063,4,14,48.959999084472656
uniform,0.4892144747589186,1.0839083932456304,1.7394582816425868,5,15,52.09000015258789
uniform,0.40870858362912454,1.110403550481557,1.6534605836529495,5,15,52.46999740600586
uniform,0.40424708254108094,7.048938782772435,1.3090961102978627,7,15,47.119998931884766
uniform,0.443173165944745,1.0475232965856616,1.7279705982180609,5,13,52.29999923706055
uniform,0.4588867334700358,1.0900321006941232,1.7171168473259122,5,15,52.060001373291016
uniform,0.458254756012395,1.1051345616604458,0.29268087790340314,5,16,51.47999954223633
uniform,0.580508615025692,0.910460097605496,1.6881496637436102,7,15,51.41999816894531
uniform,0.4356184376089095,0.526340466230732,0.49336559291620485,8,17,51.779998779296875
uniform,0.5247390991433836,0.38381390135196636,0.4041360453537082,8,16,50.5
uniform,0.44041746576245777,0.04829474924840804,1.7385575169995553,5,17,0.8100000023841858
uniform,0.40046765081847013,0.5686668453253161,1.2798875006134711,9,15,51.709999084472656
uniform,0.4695739895770746,1.3643124581927641,0.4277915806712538,6,17,51.34000015258789
uniform,0.4351539735051861,0.8741190418494307,0.8278733611636582,5,13,52.560001373291016
uniform,0.535399747820604,0.8668305001664698,0.862393022638869,5,13,51.849998474121094
uniform,0.5467100877689389,0.8682419159246931,0.7474160277540063,6,13,51.72999954223633
uniform,0.5673720149204577,0.9221034819245213,1.0215730928155171,5,11,51.4900016784668
uniform,0.6105057516354102,1.4531130046696636,1.7265519587177476,4,13,51.06999969482422
uniform,0.5262794366355322,0.2773238713541656,1.2286877822734004,6,14,48.529998779296875
uniform,0.40200201749941733,0.671818873468495,1.5603063834830175,4,15,52.31999588012695
uniform,0.37680210362344235,1.191480859821905,2.026370644407497,3,16,52.310001373291016
uniform,0.3892249713433197,1.211532447101342,1.5433428254148576,3,15,52.119998931884766
uniform,0.3908041446665885,1.3020411962217635,2.1194054687464927,3,16,52.130001068115234
uniform,0.3873664385912568,0.647589689183882,2.118852769970548,3,16,51.54999923706055
uniform,0.30772744694168896,2.06642435416141,1.6298702336031603,4,16,50.840003967285156
uniform,0.3807434529352398,1.2972279718703283,1.9449031502851921,3,15,52.10000228881836
uniform,0.4203365978710697,0.023668286434499253,2.037250245208162,3,14,0.5600000023841858
uniform,0.375560812148815,1.3080523514641038,9.868885551515675,3,16,39.39999771118164
uniform,0.3673529489960208,1.4618063530742256,1.1412701960334295,4,15,51.849998474121094
uniform,0.4171862436881751,0.7096136767560082,1.5152120385779684,3,17,52.0099983215332
uniform,0.4435532143689378,2.0683351576244604,1.9234962131984759,4,14,51.84000015258789
uniform,0.3043640062536419,1.1957107873697603,0.20438133535354863,3,11,50.51000213623047
uniform,0.3789070505472153,0.2670693332270445,1.4017981606777234,4,13,48.439998626708984
uniform,0.2567273158864214,2.819947583794939,2.2180403101897683,1,14,49.40999984741211
uniform,0.4102944133559063,0.5176346590820224,1.8881316177422336,5,15,51.11000061035156
uniform,0.44396993572131654,0.9755335620346817,0.8686336424336587,4,16,52.59000015258789
uniform,0.362157762046103,1.4068344850010306,0.7520958823411306,4,19,51.4900016784668
uniform,0.4316871080403601,0.7520167739359132,1.1052356668383236,3,16,52.32999801635742
uniform,0.445185638993457,0.7770511807836036,1.075150466916805,4,16,52.39999771118164
uniform,0.4443287396986373,0.8108828141319018,1.0183053729244977,7,17,52.38999557495117
uniform,0.44170351899569416,0.7317661916344883,1.0092652420831145,7,17,52.369998931884766
uniform,0.4444433102050248,0.24327023551616633,0.5839315150816419,7,17,49.630001068115234
uniform,0.4291719872555798,0.7949784166174922,0.9379332109249957,6,18,52.67000198364258
uniform,0.4323489398150829,0.7268073323943253,0.9646719143852304,7,18,52.45000076293945
uniform,0.4319310302131984,0.7968392255110865,1.0000720586826883,7,18,52.46999740600586
uniform,0.42755614117911445,0.7203910028427501,0.993431639203922,7,18,52.46999740600586
uniform,0.4171324508706909,0.6741188931671724,0.9306357274063635,7,18,52.46000289916992
uniform,0.42299966183941645,0.4891981474682986,0.011480181567974035,7,18,50.529998779296875
uniform,0.4584340040973245,0.8000747313761623,0.9228915443893473,8,19,52.5099983215332
uniform,0.465676124987606,0.1809076994857095,0.9419197961085787,8,19,47.2400016784668
uniform,0.501661296740435,0.005290434065151395,0.6714451227723988,9,18,1.0
uniform,0.45778638875699507,0.8961538158267259,0.26582222825745516,7,20,51.709999084472656
uniform,0.35650208719764687,0.44945454489926606,0.9736669981874682,8,19,51.08000183105469
uniform,0.4168934501516049,0.7819943069509265,0.6003673983019364,6,18,52.59000015258789
